antecedents,consequents,support,confidence,lift
Organic Cilantro,Limes,0.0134231312363247,0.31603945926196564,5.92031941694777
Limes,Organic Cilantro,0.0134231312363247,0.251453488372093,5.92031941694777
Sparkling Water Grapefruit,Lime Sparkling Water,0.01045142067938114,0.3123116160445166,5.650104674206821
Lime Sparkling Water,Sparkling Water Grapefruit,0.01045142067938114,0.1890791690061763,5.65010467420682
Organic Yellow Onion,Organic Garlic,0.015393926227091449,0.19548724012217955,4.091391114229741
Organic Garlic,Organic Yellow Onion,0.015393926227091449,0.3221825267944138,4.091391114229741
Organic Raspberries,Organic Blueberries,0.010164336369702518,0.14891440263726272,3.5397244634259857
Organic Blueberries,Organic Raspberries,0.010164336369702518,0.2416082626337145,3.5397244634259852
Limes,Large Lemon,0.01807855247435639,0.3386627906976744,3.5393721854279656
Large Lemon,Limes,0.01807855247435639,0.1889393447940318,3.5393721854279656
Organic Red Onion,Red Peppers,0.01030399900684347,0.24434222631094757,3.218654416537975
Red Peppers,Organic Red Onion,0.01030399900684347,0.1357318070318888,3.218654416537975
Organic Cilantro,Organic Yellow Onion,0.010389348396207384,0.24461088783339424,3.1063100251988884
Organic Yellow Onion,Organic Cilantro,0.010389348396207384,0.13193418070745888,3.1063100251988884
Organic Garlic,Large Lemon,0.01416799863440977,0.29652484572913285,3.098987606816583
Large Lemon,Organic Garlic,0.01416799863440977,0.14807006162828415,3.098987606816583
Organic Strawberries,Organic Raspberries,0.01327570956378703,0.09828814338235294,3.0480203309442757
Organic Raspberries,Organic Strawberries,0.01327570956378703,0.41169393647738206,3.0480203309442757
Red Peppers,Organic Yellow Onion,0.01789233562483512,0.23569092395748162,2.9930355366526897
Organic Yellow Onion,Red Peppers,0.01789233562483512,0.22721450389200906,2.9930355366526893
Organic Raspberries,Organic Strawberries,0.01327570956378703,0.19449812436057748,2.9438998548255957
Organic Strawberries,Organic Raspberries,0.01327570956378703,0.2009395184967704,2.9438998548255952
Seedless Red Grapes,Organic Strawberries,0.010629878493505687,0.18875723339763018,2.857006430387947
Organic Strawberries,Seedless Red Grapes,0.010629878493505687,0.16089254257193186,2.857006430387947
Seedless Red Grapes,Organic Strawberries,0.010629878493505687,0.3828954723309111,2.834807804742215
Organic Strawberries,Seedless Red Grapes,0.010629878493505687,0.07869944852941176,2.834807804742215
Organic Cucumber,Red Peppers,0.011227324219053087,0.2150074294205052,2.832235028472358
Red Peppers,Organic Cucumber,0.011227324219053087,0.14789452166802944,2.832235028472358
Organic Blackberries,Organic Strawberries,0.011398022997780916,0.3747448979591837,2.774464150894733
Organic Strawberries,Organic Blackberries,0.011398022997780916,0.08438648897058823,2.7744641508947328
Limes,Organic Avocado,0.010063468909545166,0.48341408870667163,2.7738468714969615
Organic Avocado,Limes,0.010063468909545166,0.057744534971728774,2.7738468714969615
Organic Cucumber,Organic Avocado,0.011739420555236572,0.22481426448736996,2.7626346334535867
Organic Avocado,Organic Cucumber,0.011739420555236572,0.1442601067887109,2.7626346334535867
Organic Strawberries,Organic Blueberries,0.0152154684129669,0.11264935661764705,2.677697229729913
Organic Blueberries,Organic Strawberries,0.0152154684129669,0.3616746587974917,2.677697229729913
Limes,Organic Yellow Onion,0.01118852904206949,0.20959302325581394,2.6616186839349507
Organic Yellow Onion,Limes,0.01118852904206949,0.14208296383880184,2.6616186839349503
Organic Avocado,Organic Cucumber,0.011739420555236572,0.0673612038644762,2.646036780390558
Organic Cucumber,Organic Avocado,0.011739420555236572,0.46113989637305697,2.646036780390558
Organic Raspberries,Organic Strawberries,0.024394407287286046,0.3573945663294305,2.646009104875325
Organic Strawberries,Organic Raspberries,0.024394407287286046,0.18060661764705882,2.646009104875325
Original Hummus,Organic Baby Carrots,0.01045917971477786,0.2613416052733618,2.6376060118121707
Organic Baby Carrots,Original Hummus,0.01045917971477786,0.10555990602975725,2.6376060118121702
Large Lemon,Organic Red Onion,0.010567806210331931,0.11044437236457995,2.6190048940371287
Organic Red Onion,Large Lemon,0.010567806210331931,0.25059797608095674,2.619004894037128
Organic Cilantro,Large Lemon,0.01044366164398442,0.24588966021191083,2.5697981825682366
Large Lemon,Organic Cilantro,0.01044366164398442,0.10914693480376256,2.569798182568236
Organic Cucumber,Large Lemon,0.012569637342685557,0.24071322436849923,2.5156991390740284
Large Lemon,Organic Cucumber,0.012569637342685557,0.1313655530327603,2.5156991390740284
Large Lemon,Organic Avocado,0.01778370912928105,0.4378223495702006,2.512239885014318
Organic Avocado,Large Lemon,0.01778370912928105,0.10204354213970883,2.512239885014318
Organic Baby Spinach,Organic Avocado,0.018877733120218496,0.4353972798854689,2.498324750732336
Organic Avocado,Organic Baby Spinach,0.018877733120218496,0.10832108988914117,2.498324750732336
Banana,Organic Avocado,0.014602504616626062,0.4350439204808137,2.496297162165898
Organic Avocado,Banana,0.014602504616626062,0.0837896798895864,2.496297162165898
